Issued date,Account ID,Bill to name,Billing Address,Billing City,Billing State,Billing Zip,Customer Name,Sales Rep,Product ID,Product,Sales order Number,SO Status,Sales person,So c1,So c2,Sales Order Custom Field 3,So c4,So c5,Sales Order Custom Field 6,Sales Order ID,SO Item ID,SO Item Product Number,Customer ID,Product description,Sales Order Item Description,Soitem type,BOL,Carrier name,Company id,Company name,Ship status,SO Number,Status ID,Account ID,Sales Rep Initials,Fulfilled Quantity,Last Unit Price,So ct,Unit price,Total price,Total cost,Sales Order Line Item
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,36,FG- 1kg Green Caps Wt,5853,Fulfilled,BrandonG,,,,,,,10869,33207,FG- 1kg Green Caps Wt,17,1kg Green Caps Wt,1kg Green Caps Wt,Sale,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,3.00,$75.0000,1.00,$35.00,$105.00,$71.22,1.00
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,51,FG- 1kg Green Powder,5853,Fulfilled,BrandonG,,,,,,,10869,33216,FG- 1kg Green Powder,17,1kg Green Powder,1kg Green Powder,Sale,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,3.00,$50.0000,1.00,$32.00,$96.00,$46.80,8.00
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,82,FG- BX12 Focus+Flow,5853,Fulfilled,BrandonG,,,,,,,10869,33223,FG- BX12 Focus+Flow,17,BX12 Focus + Flow,BX12 Focus + Flow,Sale,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,4.00,$48.0000,1.00,$42.00,$168.00,$58.36,12.00
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,81,FG- MC12 Focus+ Flow,5853,Fulfilled,BrandonG,,,,,,,10869,33222,FG- MC12 Focus+ Flow,17,MC12 Focus + Flow,MC12 Focus + Flow,Sale,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,3.00,$576.0000,1.00,$504.00,"$1,512.00",$525.27,11.00
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,28,FG-150ct Red Caps,5853,Fulfilled,BrandonG,,,,,,,10869,33210,FG-150ct Red Caps,17,150ct Red Caps,150ct Red Caps,Sale,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,7.00,$11.0000,1.00,$6.35,$44.45,$22.99,4.00
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,29,FG-150ct White Caps,5853,Fulfilled,BrandonG,,,,,,,10869,33211,FG-150ct White Caps,17,150ct White Caps,150ct White Caps,Sale,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,5.00,$11.0000,1.00,$6.35,$31.75,$16.45,5.00
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,49,FG-1kg Red Powder,5853,Fulfilled,BrandonG,,,,,,,10869,33217,FG-1kg Red Powder,17,1kg Red Powder,1kg Red Powder,Sale,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,2.00,$50.0000,1.00,$32.00,$64.00,$31.20,9.00
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,35,FG-1kg White Cap Wt,5853,Fulfilled,BrandonG,,,,,,,10869,33215,FG-1kg White Cap Wt,17,1kg White Cap Wt,1kg White Cap Wt,Sale,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,8.00,$75.0000,1.00,$35.00,$280.00,$189.92,7.00
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,48,FG-250g Green Powder,5853,Fulfilled,BrandonG,,,,,,,10869,33208,FG-250g Green Powder,17,250g Green Powder,250g Green Powder,Sale,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,7.00,$20.0000,1.00,$11.50,$80.50,$32.07,2.00
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,48,FG-250g Green Powder,5853,Fulfilled,BrandonG,,,,,,,10869,33213,FG-250g Green Powder,17,250g Green Powder,250g Green Powder,Sale,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,5.00,$20.0000,1.00,$11.50,$57.50,$22.91,6.00
